horsepower,weight,displacement,cylinders
130.0,3504.0,307.0,8
165.0,3693.0,350.0,8
150.0,3436.0,318.0,8
150.0,3433.0,304.0,8
140.0,3449.0,302.0,8
198.0,4341.0,429.0,8
220.0,4354.0,454.0,8
215.0,4312.0,440.0,8
225.0,4425.0,455.0,8
190.0,3850.0,390.0,8
170.0,3563.0,383.0,8
160.0,3609.0,340.0,8
150.0,3761.0,400.0,8
225.0,5000.0,455.0,8
95.0,2372.0,113.0,4
95.0,2833.0,198.0,6
97.0,2774.0,199.0,6
85.0,2587.0,200.0,6
88.0,2130.0,97.0,4
46.0,1835.0,97.0,4
87.0,2672.0,110.0,4
90.0,2430.0,107.0,4
95.0,2375.0,104.0,4
113.0,2234.0,121.0,4
90.0,2648.0,199.0,6
215.0,4615.0,360.0,8
200.0,4376.0,307.0,8
210.0,4382.0,318.0,8
193.0,4732.0,304.0,8
88.0,2130.0,97.0,4
90.0,2264.0,140.0,4
95.0,2228.0,113.0,4
75.0,2046.0,98.0,4
100.0,2634.0,232.0,6
105.0,3439.0,225.0,6
100.0,3329.0,250.0,6
88.0,3302.0,250.0,6
100.0,3288.0,232.0,6
165.0,4209.0,350.0,8
175.0,4464.0,400.0,8
153.0,4154.0,351.0,8
150.0,4096.0,318.0,8
180.0,4955.0,383.0,8
170.0,4746.0,400.0,8
175.0,5140.0,400.0,8
110.0,2962.0,258.0,6
72.0,2408.0,140.0,4
100.0,3282.0,250.0,6
88.0,3139.0,250.0,6
86.0,2220.0,122.0,4
90.0,2123.0,116.0,4
70.0,2074.0,79.0,4
76.0,2065.0,88.0,4
65.0,1773.0,71.0,4
69.0,1613.0,72.0,4
60.0,1834.0,97.0,4
70.0,1955.0,91.0,4
95.0,2278.0,113.0,4
80.0,2126.0,97.5,4
54.0,2254.0,97.0,4
90.0,2408.0,140.0,4
86.0,2226.0,122.0,4
165.0,4274.0,350.0,8
175.0,4385.0,400.0,8
150.0,4135.0,318.0,8
153.0,4129.0,351.0,8
150.0,3672.0,304.0,8
208.0,4633.0,429.0,8
155.0,4502.0,350.0,8
160.0,4456.0,350.0,8
190.0,4422.0,400.0,8
97.0,2330.0,70.0,3
150.0,3892.0,304.0,8
130.0,4098.0,307.0,8
140.0,4294.0,302.0,8
150.0,4077.0,318.0,8
112.0,2933.0,121.0,4
76.0,2511.0,121.0,4
87.0,2979.0,120.0,4
69.0,2189.0,96.0,4
86.0,2395.0,122.0,4
92.0,2288.0,97.0,4
97.0,2506.0,120.0,4
80.0,2164.0,98.0,4
88.0,2100.0,97.0,4
175.0,4100.0,350.0,8
150.0,3672.0,304.0,8
145.0,3988.0,350.0,8
137.0,4042.0,302.0,8
150.0,3777.0,318.0,8
198.0,4952.0,429.0,8
150.0,4464.0,400.0,8
158.0,4363.0,351.0,8
150.0,4237.0,318.0,8
215.0,4735.0,440.0,8
225.0,4951.0,455.0,8
175.0,3821.0,360.0,8
105.0,3121.0,225.0,6
100.0,3278.0,250.0,6
100.0,2945.0,232.0,6
88.0,3021.0,250.0,6
95.0,2904.0,198.0,6
46.0,1950.0,97.0,4
150.0,4997.0,400.0,8
167.0,4906.0,400.0,8
170.0,4654.0,360.0,8
180.0,4499.0,350.0,8
100.0,2789.0,232.0,6
88.0,2279.0,97.0,4
72.0,2401.0,140.0,4
94.0,2379.0,108.0,4
90.0,2124.0,70.0,3
85.0,2310.0,122.0,4
107.0,2472.0,155.0,6
90.0,2265.0,98.0,4
145.0,4082.0,350.0,8
